https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1630540800000,2021-09-02 00:00:00,ETH/USDT,3826.82000000,3836.80000000,3787.33000000,3811.00000000,16459.25170000,62753476.53624400,30969
1630454400000,2021-09-01 00:00:00,ETH/USDT,3429.19000000,3842.00000000,3382.22000000,3826.82000000,845759.95868000,3038498667.85423990,2022132
1630368000000,2021-08-31 00:00:00,ETH/USDT,3229.14000000,3476.00000000,3188.77000000,3429.20000000,863071.13092000,2895209449.70776520,1772849
1630281600000,2021-08-30 00:00:00,ETH/USDT,3223.47000000,3347.95000000,3143.00000000,3229.64000000,625347.27541000,2027490192.49738710,1228525
1630195200000,2021-08-29 00:00:00,ETH/USDT,3244.75000000,3285.00000000,3152.34000000,3223.47000000,335806.78270000,1078681950.90208700,661232
1630108800000,2021-08-28 00:00:00,ETH/USDT,3273.89000000,3287.00000000,3210.31000000,3244.48000000,262360.34921000,850631439.05327950,539377
1630022400000,2021-08-27 00:00:00,ETH/USDT,3093.06000000,3280.00000000,3060.18000000,3273.45000000,451027.80711000,1434311977.24525590,802187
1629936000000,2021-08-26 00:00:00,ETH/USDT,3226.88000000,3250.00000000,3053.30000000,3093.20000000,442298.47372000,1382397989.45047040,959232
1629849600000,2021-08-25 00:00:00,ETH/USDT,3170.63000000,3248.00000000,3080.00000000,3226.87000000,483697.69444000,1534476278.25319960,1031704
1629763200000,2021-08-24 00:00:00,ETH/USDT,3321.28000000,3357.85000000,3147.31000000,3170.62000000,540480.07853000,1758604481.59984730,984324
1629676800000,2021-08-23 00:00:00,ETH/USDT,3238.00000000,3377.89000000,3230.02000000,3321.28000000,602103.44614000,2000534992.14834860,1520784
1629590400000,2021-08-22 00:00:00,ETH/USDT,3223.36000000,3272.00000000,3126.42000000,3238.00000000,406479.07654000,1304347038.57135730,803263
1629504000000,2021-08-21 00:00:00,ETH/USDT,3284.81000000,3309.16000000,3207.00000000,3223.43000000,421156.09084000,1375973641.16316310,777622
1629417600000,2021-08-20 00:00:00,ETH/USDT,3184.11000000,3300.00000000,3177.16000000,3284.82000000,558127.45540000,1809283029.21790640,1137843
1629331200000,2021-08-19 00:00:00,ETH/USDT,3014.18000000,3188.00000000,2958.33000000,3184.12000000,634769.92174000,1931520693.61039600,1297759
1629244800000,2021-08-18 00:00:00,ETH/USDT,3011.73000000,3125.81000000,2950.00000000,3014.55000000,625103.25568000,1902429362.96362430,1093813
1629158400000,2021-08-17 00:00:00,ETH/USDT,3147.18000000,3290.00000000,2991.89000000,3011.72000000,804996.06971000,2535149204.53759840,1644472
1629072000000,2021-08-16 00:00:00,ETH/USDT,3307.35000000,3335.00000000,3135.22000000,3146.53000000,635667.05422000,2062860388.39544930,1940766
1628985600000,2021-08-15 00:00:00,ETH/USDT,3263.16000000,3320.00000000,3111.13000000,3307.09000000,565579.67765000,1813755247.62538600,1224556
